admin2_idx,n_samples,r2_full,r2_no_energy,r2_no_surface,r2_no_root,delta_energy,delta_surface,delta_root,max_delta,dominance_class,koppen_id,koppen_name,total_mismatch_freq,risk_class,avg_production
1001,1051,0.3577450927120459,0.3283917893789,0.3528400380339629,0.2386284344064309,0.0293533033331458,0.0049050546780829,0.119116658305615,0.119116658305615,1,2,Savanna,,,29923.5
1002,1051,0.3279111104518593,0.3053745035066941,0.3292172906339937,0.1747567844238721,0.0225366069451651,0.0,0.1531543260279871,0.1531543260279871,1,2,Savanna,,,1431.5
1003,1051,0.2412585406364275,0.1893789202998496,0.2506799989820877,0.1193235638022794,0.0518796203365778,0.0,0.121934976834148,0.121934976834148,1,2,Savanna,,,539.0
1004,1051,0.2926342406603489,0.2670102087694359,0.2935419693774564,0.1750427686113344,0.025624031890913,0.0,0.1175914720490145,0.1175914720490145,1,2,Savanna,,,1998.5
1005,1051,0.4198948694340274,0.3659094664024256,0.4215718065009397,0.1878591339245697,0.0539854030316018,0.0,0.2320357355094576,0.2320357355094576,1,2,Savanna,,,27425.0
1006,1051,0.2288746966951643,0.1940035780901786,0.2345422822452115,0.1686381543134966,0.0348711186049857,0.0,0.0602365423816677,0.0602365423816677,1,2,Savanna,,,30857.5
1007,1051,0.4958514672914904,0.3987923918023403,0.4877057913578034,0.329611661141449,0.0970590754891501,0.0081456759336869,0.1662398061500414,0.1662398061500414,1,2,Savanna,,,11235.538461538461
1035,1051,0.2766358176656627,0.2244208131376567,0.2711242680648907,0.2369157293816753,0.0522150045280059,0.0055115496007719,0.0397200882839873,0.0522150045280059,2,2,Savanna,0.12883254716981132,1.0,19740.688281415965
1037,1051,0.3605226185174057,0.2439068027321754,0.357315261617012,0.2731323257115042,0.1166158157852302,0.0032073569003937,0.0873902928059014,0.1166158157852302,2,2,Savanna,0.17393867924528303,1.0,32699.322653939398
1039,1051,0.3320878113801898,0.2494979455624142,0.3502361665824474,0.2442137120818333,0.0825898658177756,0.0,0.0878740992983565,0.0878740992983565,4,2,Savanna,0.013561320754716982,0.0,4837.563903664436
1084,1051,-0.6305919000581273,-0.6821761681037921,-0.6572110142731342,-0.4147922836014954,0.0515842680456648,0.0266191142150069,0.0,0.0515842680456648,0,2,Savanna,0.005306603773584905,0.0,3772.186885558823
1085,1051,-0.5705081910022585,-0.5563613864906389,-0.5598047935364459,-0.2988145622204299,0.0,0.0,0.0,0.0,0,2,Savanna,0.055129716981132074,0.0,3972.8591823333336
1086,1051,-0.4464385312214673,-0.3831353841680569,-0.5213669900226898,-0.2921886937293816,0.0,0.0749284588012224,0.0,0.0749284588012224,0,2,Savanna,0.10465801886792453,0.0,3726.539678921104
1089,1051,-0.1510408752891303,-0.2077611066454285,-0.1804718788544388,-0.0577847312979002,0.0567202313562982,0.0294310035653084,0.0,0.0567202313562982,0,2,Savanna,0.10465801886792453,0.0,5324.046356979455
16,1051,0.5365137356090075,0.5319845290041145,0.5231711690082748,0.2962293818588595,0.0045292066048929,0.0133425666007327,0.240284353750148,0.240284353750148,1,3,Desert,0.041568396226415096,0.0,19735.428571428572
56,752,0.154554396462159,0.0833449599393434,0.1620935310422692,0.0824498561966339,0.0712094365228156,0.0,0.0721045402655251,0.0721045402655251,4,3,Desert,0.06074766355140187,0.0,372.2718374870968
266,1039,0.2225257426437829,0.2125707151474121,0.2302855727632409,0.0212251987068476,0.0099550274963707,0.0,0.2013005439369352,0.2013005439369352,1,3,Desert,,,
267,1041,-0.2050116194946425,-0.2474744853264654,-0.1558501896526838,-0.20633881326936,0.0424628658318229,0.0,0.0013271937747174,0.0424628658318229,0,3,Desert,,,1599.0901538461537
307,1048,0.4771530935652842,0.4407113691946748,0.45582273379034,0.3035892243291569,0.0364417243706094,0.0213303597749442,0.1735638692361273,0.1735638692361273,1,3,Desert,,,31434.771999999997
308,1051,0.4799749945361966,0.4244732370132894,0.4751924107058314,0.2687298872396255,0.0555017575229072,0.0047825838303652,0.2112451072965711,0.2112451072965711,1,3,Desert,,,
309,1051,0.4549419228724932,0.4076523107316904,0.4485319508349656,0.2438290063609802,0.0472896121408028,0.0064099720375275,0.2111129165115129,0.2111129165115129,1,3,Desert,,,
310,1051,0.7026283883201966,0.6647181513752718,0.6787428753129017,0.4421113834737671,0.0379102369449247,0.0238855130072949,0.2605170048464295,0.2605170048464295,1,3,Desert,,,
311,1051,0.6953612122775907,0.6238408064648329,0.6913203489401746,0.4726933865430945,0.0715204058127578,0.0040408633374161,0.2226678257344961,0.2226678257344961,1,3,Desert,,,
383,1051,0.3534132414720438,0.3718996401914338,0.3483094177401942,0.1604888854373527,0.0,0.0051038237318495,0.192924356034691,0.192924356034691,1,3,Desert,0.03541381334376834,0.0,419.88938371250003
384,1050,0.5262393801755647,0.4463059550124967,0.5024854888321104,0.2614528801625734,0.079933425163068,0.0237538913434542,0.2647865000129913,0.2647865000129913,1,3,Desert,0.05090162063455832,1.0,844.3181140272727
385,1051,0.6555410426163322,0.579701434908073,0.6545135033021555,0.3480429672702799,0.0758396077082591,0.0010275393141766,0.3074980753460522,0.3074980753460522,1,3,Desert,0.003195617438940881,0.0,2994.706585162791
476,648,0.2591720812126052,0.2235604324748703,0.272831780063037,-0.0007843381951744,0.0356116487377349,0.0,0.2599564194077797,0.2599564194077797,1,3,Desert,0.0,0.0,108.25
477,532,0.0222618694635494,0.0447159592360498,-0.1190782925053373,-0.0484717687846325,0.0,0.1413401619688867,0.070733638248182,0.1413401619688867,0,3,Desert,,,
478,144,-0.4450052816153262,-0.0168609008501294,-0.3292332358333185,-1.3118827563045032,0.0,0.0,0.866877474689177,0.866877474689177,0,3,Desert,,,1417.7683452147235
480,290,-0.1583957035574736,-0.1599537145427263,-0.1332568675444112,-0.1456806721612997,0.0015580109852526,0.0,0.0,0.0015580109852526,0,3,Desert,,,
481,830,-0.060112154217399,-0.0879313690555883,-0.0932092072347785,-0.050176002223057,0.0278192148381892,0.0330970530173795,0.0,0.0330970530173795,0,3,Desert,,,224.0
482,743,0.1665726674123578,0.0820653248908725,0.1565452267413873,0.1381291310562804,0.0845073425214852,0.0100274406709705,0.0284435363560774,0.0845073425214852,2,3,Desert,,,237.8111304347826
483,835,0.2815008012803706,0.1702839838651415,0.2718859117919188,0.2080859639849006,0.111216817415229,0.0096148894884517,0.0734148372954699,0.111216817415229,2,3,Desert,0.0,0.0,1073.857409221212
484,745,0.2685498517739754,0.1628140845803894,0.2757892255217612,0.1961534370648091,0.1057357671935859,0.0,0.0723964147091662,0.1057357671935859,2,3,Desert,0.0,0.0,1679.2027468173335
